"Sidney","Color: Black","Very Good but Unexpected Downside","10 Jul 2020","This is my 3rd robot vacuum.  My first was a Ecovacs bought on sale for under $200 about 3 years ago.  I loved it but after 7 months, it stopped connecting to internet.  Company sent replacement (after 10 calls to company).  Second one did the exact same thing - 7 months in it stopped connecting to internet.  Company sent a 3rd replacement (another 10 calls and a very unpleasant company person telling me that even if the 3rd replacement stops working they will not replace again).  Again, it stopped at about 7 months.  While the thing worked, it was great - enough power to get over kitchen/dinning room transition bump, good app that let me know how long it ran for each cleaning, easy to schedule cleanings (I usually have it set for twice a week while I'm at work), an a long enough battery that even though it was ping ponging around space, it would really clean everything. Decided to change brands.  I researched for about a month and decided on an Eufy for about $220.  I picked this one because it was thinner than the Ecovacs and had good reviews.  One of the things I didn't like about the ecovacs (aside from the 7 month lifespan) was that 1 out of every 3 runs through house, it would get wedged under cabinets in kitchen because the very thin carpet runner was just a mm too high and if front wheel was on tile and back wheel was still on carpet near the cabinets, wedge city.  The Eufy never got wedged but a huge problem was that it did not have the power to get over the divider bump between kitchen tile and hardwood floor in dinning room (bathroom was same issue).  I pushed it into kitchen and bathroom for a year.  I also did not like the app because it did not tell you how long it ran for each time.  Battery life was good and house felt ""vacuumed"" when I got home from work (I blocked off kitchen/bath so it would not get stuck but that is not really the point of having a robot vacuum - I don't want to have to vacuum kitchen/bath when I get home). This time I really did my research and also decided to splurge.  I bought the Roboroc Pure about 2 weeks ago.  This one is not the random ping pong, but the mapping kind.  Easy to set up and connect to internet.  I really like that the app give lots of info such as how much battery is used, how long cleaning lasted for each run, and it was easy to schedule run times.  It has gone through my house 4 times.  Has enough power to get over kitchen/bath transition, is thin enough so it won't get wedged under cabinets (I even checked if one wheel is on carpet and one on tile and no wedge city).  Really great suction so my all hardwood floor, 1000 sq ft house really, really feels vacuumed (except for 1 small area - see below).  No dust balls in corners that got left behind.  It runs around the perimeter first and then runs on lines through rest of space.  It makes one pass through house and returns to dock. Here is the one thing I wish was different about this vacuum.  With the ping pong robots, they need long battery life because they just go random around the space until the battery needs recharging and then it goes back to dock.  They ran over same space multiple times in my house (not that big) so everything was really picked up.  This robot runs through house once and then goes back to base even if battery still has life.  The run time is about 45 minutes and it still has 70% battery left.  I close doors to office and spare room because they are very small rooms with not much floor space to vacuum (too much furniture to make it worth it).  I wish it would go back over house a second time or just keep going until battery is done.  The four times it has run, I have noticed that it did not pick up everything on carpet runner in kitchen (thin carpet tiles from Flor).  If the robot made a second pass through kitchen, I'm sure it would get everything.  I was not expecting this feature in the mapping type of vacuum and not a single reviewer mentioned this feature (I watched a lot of reviews).  I guess the solution is to just schedule more days to run but I do have to ""vacuum proof"" the house a bit before each run (pick up dog food/water bowls, pick up small rug in bathroom,  put folding chair in kitchen up on counter and put small cube  ottoman on couch). Or schedule multiple run times on same day which is what I will probably do. Other small issues to consider - 1 rotating brush up front on vacuum which does not pop off like other two vacs  This makes it harder to clean out hair that gets tangled around that brush.  Dust bin is a bit smaller than other two vacs.  The first ""map"" of my house was very accurate but the second and third time it ran, the map did not represent all the spaces.  I wanted to set it to run in just the kitchen but I did not turn on the map saving feature, so I'm not sure if I can schedule just one room.  Have to experiment with that. So far, I really do like this vacuum.  I won't ever use the mop feature so I can't say anything about that.  It has good suction, it has enough power to go everywhere,  does not get wedged anywhere, and my floors feel very clean when its done.  I was worried about only one rotating brush on front of vacuum but so far, it seems like it really does it's job.  Minus the one thing of not doing a second pass through house, I would recommend this vacuum.  I know that it takes a few weeks to really get used to each vacuum and understand the quirks (which is why I know how to ""vacuum proof"" the house before leaving for work on days it will run).  The four stars is for one pass through house, smaller dust bin, and no pop off rotating brush.","4.0","315"
"Mr. Semyon Lorberg","Color: Black","A thing to have in your home","29 May 2020","I want to start from saying that I was very skeptical in general to any robot after my bad experience with Rumba robot. After my son purchased Roborock 6 in January I was keeping my eye on his experience. I have to say that he is an IT guy and to impress him with any electronic toy is very difficult. BUT he was very pleased and even after almost 6 month his level of satisfaction didn't change and was very high. So I decided to jump. Delivery was fast and accurate. Condition of the box and it's content were perfect. I put the device to charge and noticed that a cable comes off very easy to the point that I had to monitor if it was charging or not. I sent an email to customer support and within minutes I received a reply with an explanation and further instructions. This fact by itself was surprisingly pleasant and comforting. The next hurdle was with connecting my robot with my wireless network and my phone. I have Pixel 3 phone and  I didn't expect any issues but I was wrong. It took 3 days back and forth between installing applications, checking my network and failing to connect all things together. Robot had no problem to find and to connect but my phone refused to find a device. Eventually instead of Roborock application I installed Mi home application and all problems were solved. I got a high five from my robot and gave him OK to start cleaning. It's a very smart device. Just to watch it was a very cool experience. It was spinning in all directions, moving in some whimsical patterns and eventually a map of my house was learned. It never bumped into anything but was touching gently and moving in another direction. On a screen on my phone I could see the progress and read instruction manual at the same time. Manual printed in some faded ink and to read it was an efforts for my eyes. Today after a week living with this amazing creature I tested it not only on cleaning the floor but also mopping as well. Absolutely amazing results. I have tile/laminate floor all over the house and it feels clean to touch.  At the end I receive a report about finishing the process and I can see a map that proves it. It's a very smart and complex thing and I have to learn other tricks that this robot can offer. I can name each room and tell a robot where to go and what to clean. How cool is that? I can restrict area from cleaning but I need to learn how to tell machine about it. I guess after awhile I will continue this review but at this point I can recommend it to any of my friends. Actually today I already did it while we were at the beach. I showed that a map and a moving robot while we were enjoying our sun. :)","5.0","248"
"Irene","Color: Black","Totally worth it!","07 Jun 2020","Your browser does not support HTML5 video. I been looking for robot vacuum for a while and my friend recommended this brand over irobot. At beginning I'm a little skeptical but I have to say it's beyond my expectations. There are several features I expect from it: 1) powerful vacuum with mop function, it's indeed a powerful vaccum pickup dirt, hair and dust as it went through them. I can attach the mop on the machine to clean the floor so it did the full clean job for me all-in-one. 2) good on both carpet & floor, I can turn on the carpet mode via app to increase the suction power when it clean the carpet and it's pretty good did pickup lots of hairs from it. 3) easy control, plug in and play very easy to create the map and I love that I can creat multiple area clean sequences in map 4) easy clean & maintain, it's fairly easy to detach and wash it, very easy to remove the hairs tangle on the wheel. The app also shows when to clean/replace the parts, like it 5) smart not get trap or stuck, it didn't get stuck under my furnitures or trap within wires/outlets. I keep watch how it ran over all the wires but not get trap, circling around chairs and tables but not get stuck. it pass all the tasks, pretty smart! Overall, I'm satisfied with this vacuum so I gave it a 5 stars review. Totally worth it!","5.0","180"
"Cat","Color: Black","Powerful enough to clean up after the animals! Totally self dependent!!","06 Jul 2020","If you are debating whether or not to get a robot vacuum or which one to get... worry no further! My only regret is not purchasing it sooner. I have 2 two dogs, a cat, and a parrot. One of the dogs is long haired and sheds in clumps of hair. We'd literally have to vacuum everyday and again before guests came over. Also the parrot likes to throw her seed around. The roborock does an awesome job cleaning up after them so that we don't have to. It is plenty powerful enough to keep up. The app is super easy to use. All I had to do was follow the instructions to set up the app, plug in the vacum and send it on its way. It mapped the floor itself, without getting stuck (I have 4 somewhat large threshways) and didn't require my assistance at all.","5.0","151"
"MexicanRadio","Color: Black","Good at vacuuming and mopping","12 Oct 2020","Living right near the beach has some downsides. One of them is constant tracking of sand into the house. As our beach also is alongside a desert, blown dust from the desert also add it's own layer needing cleaned. The Roborock S6 Pure has been handling our vacuuming and mopping for about a month and a half now, and we're very satisfied. We watched and read literally dozens of reviews of various vacuuming robots before we decided on this model. I strongly recommend you do the same before purchasing. there are things that operational reviews of the various robots will tell you that you won't find ever mentioned in product descriptions. One of the first things to note about vacuum robot models is that they not only perform differently at the task they're designed to do--vacuuming--but how they get the job done varies widely. While early (or later, very inexpensive) models perform a sort of ""random walk"" around the house to get the job done, that's by no means the best way for the task to be accomplished. Later models added cameras to help the 'bot find its way around. That allowed the vacuum to detect obstacles and navigate more efficiently. They also gained more intelligence. Software helps them optimize their path. Still later, many manufacturers further enhanced their software for path calculation and object avoidance. That helped even more, but the big improvement came from getting laser guidance using an infrared laser. That's what's in our Roborock, and it allows the 'bot to map an entire floor of the house with ease, and with better accuracy than the camera-only models. In addition, the improved software stores the map the 'bot makes for itself, and allows owners to see not only where the device is when cleaning, but also how much of the job is done, and where the 'bot has already cleaned. Finally, high-end versions, and the the newest models are combining front-facing cameras with laser guidance and even smarter software to allow the vacuum to avoid things inadvertently left on the floor, and to further optimize the cleaning path. The Roborock S6 Pure, as mentioned, uses a laser to build a map of your house. It then stores that map and uses it for future cleaning trips. The initial run of the device was a bit slower than subsequent trips because of the map-making effort. It also bumped into things on that initial pass. Afterwards, however, it very efficiently follows nearly the same path every time, and almost never bumps into much of anything. The resulting map is displayed in the app. There are two apps from which to choose for the Roborock S6 Pure. We chose the one called Mi Home, because it was the one recommended for those who want to integrate their vacuum with Google Home or Alexa. The second app is simply called ""Roborock"". While the app is not difficult to use, and plenty of information is provided to set it up, we've noted two things about it: 1) It's a bit picky about WiFi signal strength. The app complained it didn't have a strong enough signal when its docking station was placed in a room separated by a wall from the location of our wireless AP, which is ceiling mounted. 2) We can't get it and Google Home to play nice, so far. Although everything appears to be set up properly, Google Home complains that it can't figure out how to talk to the S6. It's turned out not to be a problem for us, because we rarely need to have the vacuum operate outside of its scheduled operations, which were very simple to set up. One thing I missed was a option to tell the device ""clean every other day"", or ""every three days,"". However, there's a custom option and one could set up multiple schedules, so it should be possible to finagle it a bit and end up with something quite close to the missing option. The Mi Home app will also allow the device to store maps for more than one floor, a process we have not attempted. Our second floor is small, and neither of us care to carry the vacuum up and down the stairs periodically (although it's no very heavy). The S6 Pure handles navigating under the dining table, and around and under all the dining room chairs just fine. Our downstairs (the primary use point of our vacuum) is open floor plan, with two additional rooms that have doors. It's approximately 550 square feet--all tile. Average cleaning time for the S6 Pure is about 36 minutes. We've set it to clean in the middle of the night. As long as the doors are open, the S6 Pure navigates into and back out of all rooms easily. It does not fit under our couch or love-seat, because recliner stuff. It also doesn't it quite fit under the bottom of kitchen cabinets into the toe-kick area. I suspect the issue with our cabinets is that they're custom built, rather than typical US-style kitchen cabinets, and given that they were built here in Mexico, from scratch, the cabinet maker might not have used the typical US dimensions for the height of toe-kicks. The S6 Pure also has a removable mop attachment, which consists of a small tank that is equipped with a cleaning pad. Water from the tank seeps into the pad to allow the robot to mop. The tank snaps into place underneath the vacuum; the vacuum does not have to be lifted completely off the floor to attach it when wanted. Just tip the rear of the unit up a bit, and slide the tank into place until it latches. The S6 Pure vacuums and mops simultaneously, it's not necessary to have separate cleaning passes for each function. Initially we did not think there was going to be enough water in the tank to completely mop the area, but we've been pleasantly surprised to see that it appears to do just fine. Once mopping is done you can easily unlatch and release the water tank. The mopping pad attaches to the tank by being slid into a groove in the tank from one side, as well as being held in place by velcro. Neither attaching nor removing the mop attachment is any trouble at all. This vacuum has really good suction, and appears to have no trouble whatsoever in picking up the typical sand, dust and dirt that gets tracked in. While the dust bin doesn't look very large, it's been more than adequate for our purposes. We empty it after every run, but it's clear that we could probably get at least three full vacuuming passes before it was actually full. After all, one of the advantages of this sort of appliance is that it can run every single day, if you choose, so accumulation of large amounts of dust, sand and dirt shouldn't be an issue. Emptying the bin is a snap. lift the lid on the vacuum squeeze a latch and lift out the bin, then pop it open over the trash can and empty it. to replace, just shut the bin and drop it into place in the vacuum, and close the top lid. The vacuum is ""chatty"" and will acknowledge when the bin is removed or replaced, when it's stuck, when it's charging and other issues. It can also send notifications to the app on your cell phone. There are a choice of ""voices"" for the robot, but from what I could see, most of them are in Chinese :-( Maintenance is relatively minimal and very easy. There's a cleaning tool to help remove stubborn stuff that may get stuck on the vacuums brush. This model has an improved brush assembly over older models, that makes removal and replacement easier, as well as replacing any parts that wear out much simpler. So far it's been no problem in use. The edge sweeper is made of some kind of plastic or rubber compound. Roborock says that was because their experience with the bristle-type edge sweepers early on showed that the wore out or broke to rapidly. The ""cliff sensors"" and other parts of the unit are easily cleaned with a soft cloth. I'd only dampen the cloth with water or something like Windex if it was absolutely needed. A microfiber towel seems to work very well for us. Lastly, I cannot speak to it's rug-cleaning ability, although virtually every review we found for the Roborock models said that they did a great job on carpets. We simply haven't any on the floors to test it  on. I've already recommended this model to friends. I have no complaints with it, and only time will tell how well it stands up to use. So far, however, we like it very well, as it does an excellent cleaning job.","5.0","142"
"Mike D.","Color: Black","Very capable and complete robot vacuum","07 Sep 2020","The Roborock S6 Pure lives up to its advertising claims.  I have used it extensively for the past 2 month. Pluses: 1) The mapping and scheduling app works fine on my IOS devices.  Can select vacuum power, and number of passes in a job. 2) No Go Zones and Virtual Walls are easy to set up and accurate. 3) Battery life allows the S6 Pure to complete my entire house without having to recharge. 4) S6 Pure is reasonably quiet even on turbo mode (at least compared to my Roomba 985) 5) Easy to empty dust pin, easy to clean washable filter and plenty of bin capacity for my use. 6) No issues with my medium pile rugs (that defeated the Robobrock S4...although the Roomba 985 handles them well also) 6) Room cleaning and zone cleaning options in the IOS app work well.  My living room and hall get cleaned every other early morning very reliably. 7) Vacuum works fine in the dark.  LIDAR enables this.  Camera based robot vacuums struggle with this. 8) S6 Pure mapped my house accurately on the 1st pass. 9) Since I dock the S6 Pure under a butcher style table, the remote control on the app is handy for having the robot move out for maintenance (dust bin emptying, attaching mop, cleaning sensors and brush) rather than dragging it off its dock. 10) Connected to wi-fi on 1st try.  No issues with wi-fi coverage in my home. 11) Side brush does a good job getting close to walls which is where the S6 Pure starts its passes.  No issues with debris being flung around and left behind. Cons (pretty minor): 1) My version of the app doesn't let me ""name"" rooms.  I understand this is available in the Mi Home app but it doesn't specifically support the S6 Pure.  So I'm sticking with the official Roborock app.  My house isn't that big so room names would be a nice feature but aren't required.  I can tell the bedroom from the bathroom. 2) The mopping feature works but on the S6 Pure there is no option to stop the vacuum from mopping carpeted areas.  So, when the mop is attached, I option only zones that have hard floors.  That means that if there is carpet between two rooms with hard floors, the S6 Pure will need to be carried between rooms, unless I want my carpet mopped (which I don't). 3) S6 Pure stopped once (over a month ago) with the error message about a strong magnetic field in the middle of my bedroom.  Restart wasn't an issue.  Only happened once...maybe poltergeists? 4) Alexa integration only allows a limited number of commands.  For example: Can't tell the vacuum to clean a particular room. Comments:  No consumer robot vacuum has the suction power of a good upright vacuum so I view this and any other robot vacuum as good for frequent vacuuming but not as a true replacement for a more powerful upright. Conclusion:  I would buy this vacuum again.","5.0","125"
"Andrea Allred","Color: White","LOVE! Better than Shark IQ and iRobot i7","04 Dec 2020","Love this robot vacuum! I spent HOURS watching reviews for every brand out there. I found Vacuum Wars and Modern Castle the best sources. While I’d love to get the Roomba S9, I can’t justify the cost. On Black Friday I bought several models to try and this was by far the best over the Shark IQ with sled empty and Roomba i7. The power is great! It picked up 2 dust bins full after I ran the Shark. It’s quieter than the Shark too. The battery life is great. I can do the whole house, 1 level and about 1250 sq ft of cleaning area with 50% of the battery. The mop is simple. It doesn’t replace normal mopping but keeps it cleaned up and dust free between cleanings. The home mapping and app are great! I love the no go zones and lines to keep it off area rugs when I have the mop attached. I wish it would allow me to make 2 maps, one for vacuuming and one for mopping but when I did it got confused. It tried to start but because it had 2 maps of the same space it couldn’t position itself. I had to delete one map to have it work. So multi level mapping works but they have to be different layouts so it knows where it is. You can name rooms and order which rooms it cleans to help with efficiency too. I agonized over getting S6, S6 Pure or S6 MAXV. Pure is the lowest end of the series but differences are negligible. The S6 has a smaller water reservoir than Pure but slightly larger dust bin. S6 has 2 more sensors too and I believe it has no mapping zones which Pure does not have. The charging is also faster in the S6. But I really wanted the S6 MAXV. It has 2500 suction compared to 2000. The water reservoir is a lot bigger at 300ml compared to 140ml on S6 and 180ml on the Pure. MAXV also has electric water distribution instead of the gravity driven on the other models, but after using the mop on the Pure, it does well enough. MAXV is about $275 more than the Pure and didn’t feel like it had $275 more in features. The Pure does an amazing job. I’m hopeful the emptying bin technologies improve over the next couple of years because that is a game changer but they need some improvements to be worth the cost. Check out all the brands before buying. Some are better on various surfaces than others so you need to get one that is good for your home. Again, Vacuum Wars and Modern Castle had the best information IMO. The videos were better than the data sheets. Hope you find what works for your home!","5.0","119"
"Wesley Danger","Color: Black","Great tech at an amazing price","18 Oct 2020","I was able to pick up this vacuum on prime day for $399, or $200 off the normal list price. So far, I've run 4 full cycles in my multi-level home with great results. I'm going to break down my review into, what I think, are the most important things people look for in a robotic vacuum. Suction: As a dog owner, we wanted something that worked well picking up hair on both carpeted and wood floor surfaces. So far, it's done just as well as our stand-up vacuum at removing pet hair from these surfaces. The vacuum has a setting to automatically detect when it's on carpet and go into ""carpet mode"", which is essentially the highest power mode. After its first and 2nd cleanings, I was pleasantly surprised to see a mostly full dust cup and little to no traces of dog hair anywhere. Navigation: Since this vacuum has LIDAR, it will map out the area it is cleaning continually. The first time you run the vacuum, it does take extra long because it kind of splits your area into different zones while scanning. Don't worry, after it's mapped the entire area, the next time it vacuums it will be much more efficient. It will clean in a ""Z"" pattern instead of randomly bouncing around the room like some dumber robotic vacuums. My basement for example took 79 minutes to map and vacuum the first run, but only 50 the 2nd run because its pathing was much more efficient. If you have a multi-level home, you'll have to specify that in the app settings. Then when you have one floor completely mapped, you can ""add a map"" from the ""edit map"" menu and then your vacuum will map out the other area. It does a nice job avoiding obstacles as it also has a cliff sensor, a bump sensor, along with the LIDAR. It will dock automatically when done cleaning or if it needs to fill up on battery before finishing the cleaning routine. Battery: Since most of my house is carpeted, it's in carpet mode most of the time, which is essentially the ""max suction"" setting. The vacuum just this morning cleaned about 800sq feet and had 60% battery left when finished. If you have wood floors and run a lower power setting, you could easily stretch the battery to over 2000sq feet. Noise: Even at the max setting, the vacuum does not get very loud. I could have a normal volume conversation with someone with it running in the same room. If you want to have it run while you're sleeping, it does have a quiet mode, which I have to say, is pretty darn quiet. In the app you can also set a DND time where it will automatically pause any cleaning, turn off the AI voice, and dim the lights on the vacuum itself. App: The Roborock app has worked well for me so far. There are a plethora of settings to look at and personalize to your liking. You can do things like set schedules, edit the maps, remote control the vacuum, and much more. The map editor is pretty intuitive. You can set virtual invisible walls, split your areas into zones, customize how many times you want the vacuum to cover each zone, etc. The app tries its best to automatically create zones (rooms) by itself after mapping, but there is a manual way to merge and split areas if it doesn't do it correctly. Mopping: While I haven't tried the mopping yet, I will give a tip. When you have the mop attached with water, there is no way to toggle it on or off. If it's attached, it will attempt to mop. If you have a home like mine, my kitchen and dining area is wood floors, while the rest of my main floor is carpeted. I don't want water all over my carpet. So what you can do is create a ""zone"" in the map editor just for the wooded areas. When you set your vacuum to clean, you can tell it just to clean certain zones (they are color coded). That way, you don't have to worry about it trying to mop your carpet. Overall, a very solid vacuum so far. I will update my review if anything changes. Roborock has a strong track record with their vacuums all the way back to the S3. If you have a multi-level home and are looking to break into the robotic vacuum market, the Roborock S6 Pure is my recommendation to make that happen.","5.0","122"
"ashley","Color: Black","Welcome to the Jetsons... meet Rosie!","11 Jul 2020","This robot vacuum is awesome!  We bought this as a present for the the wife (I know... I know... but she insisted) and she gets gidy everytime this thing runs. We have two dogs and two little kids. As a result, she was vacuuming nearly every day which was taking a lot of time and hard to juggle with two little ones. This little vacuum runs every other night in the house now, only requiring a 30 second emptying of the collection bin the next day. It is quiet enough to run while the kids are asleep upstairs and does a great job! It goes places our regular vacuum would never fit.... places that made us wince the first time it did for fear of what it might find. We make sure and pick up the items on the floors so it doesnt get hung up. We also mainly have non-carpeted floors and thin rugs so we cant speak to how it does with thicker carpet. However, it seems to handle itself very well. We do have several transitions between floating floors and linoleum floors and it has zero issues there. It has only got stuck twice (a chord once and it actually managed to drive itself up on a dog bed the other time before it's front wheel couldn't manage to navigate off) and I would say the situations were understandable. The phone app is great, letting you partition out rooms and easily set no go zones and schedules. I would highly recommend this to anyone! For the price of a Dyson, you can have a vacuum that does the job for you!","5.0","101"
"Eddie","Color: Black","Moping or Performance, is it a choice? No!","02 Feb 2021","I ordered my first Roborock S6 pure in the fall of 2020, I loved it at first sight because it was such an upgrade from my old Proscenic 811 Gb who was a constant mess of irrational problems. But I noticed my S6 Pure’s mopping unit wouldn’t empty so it moped dry, I tried all the recommended tips on YouTube and company support but it wouldn’t work so I had Amazon replace the unit to a new one. The new one proved that the older one had an issue since the mop is now working amazing, but the problem now is that all which was working with the previous unit, is not working. For example I can only run on max, the app proposes a quiet , balanced and turbo mode as well but it only agrees to max and refuses to slow down and reduce noise in quiet mode. I am not even sure I am running on Max mode but I can guarantee that I am running on only one mode, (which is it?) I am so upset about that because I will have to exchange it again until I get the S6 Pure who actually works 100%. (Should I keep the mop unit since it works?!?) If these technical issues had not happened to the units I was delivered, I would say it’s the perfect vacuum and mop robot for price and function, but it’s annoying that in my case I have to return and get exchanges after a month because I don’t want to ignore important functionality issues since it is around a $600 investment. Over all I am going to stick with that brand because they look good and if not perfect yet they are probably better than other brands now in 2021. I saw many reviews and I think Roborock is the only one that has an intelligent mapping and reduces the need for long runs which allows battery to be used intelligently and the pattern the Roborock S6 Pure choses around the room is logical and almost human.","5.0","66"
